Idx,Date,Folder,Experiment,acq time,frames,positions,z_range,Notes,HEVs,OT1,OT2,Polyclonal,P14,XCR1,CD11c cherry,B cells
12,2018-5-12,24 hours post LPS XCR1 OT1 OT2 poly Meca,whole LN_1,13:06:27,2,55,127,"no notes on Meca, but title implies it was injected; unclear from title which is mTmG and which is just Xcr1 - non mTmG received CD2RFP polyclonals, mTmG received ef670 polyclonals",?,VPD450,GFP,?,,VENUS,,
13,2018-5-12,24 hours post LPS XCR1 OT1 OT2 poly Meca,timelapse area 1 with XCR1s just out of view_1,13:22:35,11,4,139,"no notes on Meca, but title implies it was injected; ",?,VPD450,GFP,?,,VENUS,,
14,2018-5-12,24 hours post LPS XCR1 OT1 OT2 poly Meca,timelapse area 2_1,13:47:57,10,4,144,"no notes on Meca, but title implies it was injected; ",?,VPD450,GFP,?,,VENUS,,
15,2018-5-12,24 hours post LPS XCR1 OT1 OT2 poly Meca,reoriented whole LN attempt2_1,15:04:21,2,67,158,"no notes on Meca, but title implies it was injected; ",?,VPD450,GFP,?,,VENUS,,
16,2018-5-12,24 hours post LPS XCR1 OT1 OT2 poly Meca,reoriented whole LN subregion timelapse_1,15:30:30,15,9,183,"no notes on Meca, but title implies it was injected; ",?,VPD450,GFP,?,,VENUS,,
17,2018-5-12,24 hours post LPS XCR1 OT1 OT2 poly Meca,reoriented whole again after timelapse_1,16:16:38,2,60,113,"no notes on Meca, but title implies it was injected; ",?,VPD450,GFP,?,,VENUS,,
18,2018-5-12,24 hours post LPS XCR1 OT1 OT2 poly Meca,reoriented timelapse 2 HEVs away from XCR1 cluster_1,16:33:48,11,9,134,"no notes on Meca, but title implies it was injected; ",?,VPD450,GFP,?,,VENUS,,
19,2018-5-12,24 hours post LPS XCR1 OT1 OT2 poly Meca,reoriented timelapse 2 HEVs away from XCR1 cluster_2,17:06:22,9,9,134,"no notes on Meca, but title implies it was injected; ",?,VPD450,GFP,?,,VENUS,,
20,2018-5-12,24 hours post LPS XCR1 OT1 OT2 poly Meca,reoriented back to whole LN timelapse_2,17:38:01,2,60,114,"no notes on Meca, but title implies it was injected; ",?,VPD450,GFP,?,,VENUS,,
21,2018-5-15,XCR1 4 hours post LPS,fo real whole LN timelapse_1,13:59:30,9,45,148,"a number of experiments on 05_16, including wave not included; OT2GFP was expected but not seen",MECAA647?,VPD450,,,,VENUS,,
22,2018-5-15,XCR1 4 hours post LPS,fo real whole LN timelapse restarted moved xy_1,15:54:21,2,51,159,,MECAA647?,VPD450,,,,VENUS,,
23,2018-5-15,XCR1 4 hours post LPS,whole LN restart 3_1,16:45:24,3,49,144,,MECAA647?,VPD450,,,,VENUS,,
24,2018-5-15,XCR1 4 hours post LPS,whole LN with MECA after 5ish hours of imaging_1,17:30:20,4,52,137,,MECAA647,VPD450,,,,VENUS,,
25,2018-5-30,Intravital no LPS and 10 hrs,whole LN timelapse no LPS_1,13:43:32,7,43,147,,MECAA488,RFP,VDP450,ef670,,VENUS,,
26,2018-5-30,Intravital no LPS and 10 hrs,10 hour post LPS single time point_1,18:25:48,1,44,134,,MECAA488,RFP,VPD450,ef670,,VENUS,,
27,2018-5-30,Intravital no LPS and 10 hrs,24 block_1,21:42:30,1,50,124,explant,MECAA647,RFP,VPD450,,,VENUS,,
28,2018-5-30,Intravital no LPS and 10 hrs,24 no block_1,22:05:44,1,51,149,explant,MECAA647,RFP,VPD450,,,VENUS,,
29,2018-5-30,Intravital no LPS and 10 hrs,12 block_1,22:29:19,1,43,149,explant,MECAA647,RFP,VPD450,,,VENUS,,
30,2018-5-30,Intravital no LPS and 10 hrs,12 no block_1,22:49:50,1,42,124,explant,MECAA647,RFP,VPD450,,,VENUS,,
31,2018-5-31,31 hours post LPS,31 whole LN timelpase_1,17:31:35,6,45,155,,MECAA488,RFP,VPD450,ef670,,VENUS,,
32,2018-5-31,31 hours post LPS,XCR1 cluster subregion fast timelapse_1,19:25:50,10,9,128,,MECAA488,RFP,VPD450,ef670,,VENUS,,
33,2018-6-1,6 hours post LPS,whole LN 7 hour post LPS timelapse_1,14:58:35,3,39,152,"Two pretty good TPs, aborted on 3rd",MECAA488,RFP,VPD450,ef670,,,,
34,2018-6-2,4 hours post LPS,whole LN 3 hour post LPS timelapse_1,14:22:39,5,48,182,few OT2s visualized,MECAA647,GFP,cmTMR,VPD450,,VENUS,,
35,2018-6-2,4 hours post LPS,whole LN 3 hour post LPS timelapse restart (5 hours now)_1,16:10:16,2,51,152,,MECAA647,GFP,cmTMR,VPD450,,VENUS,,
36,2018-6-2,4 hours post LPS,subregion timelapse_1,16:33:45,10,6,146,,MECAA647,GFP,cmTMR,VPD450,,VENUS,,
37,2018-6-3,No LPS,whole LN no LPS timelapse_1,15:26:43,2,32,141,,MECAA647,GFP,cmTMR,VPD450,,VENUS,,
38,2018-6-3,No LPS,whole LN no LPS timelapse again_1,15:45:26,2,32,141,,MECAA647,GFP,cmTMR,VPD450,,VENUS,,
39,2018-6-3,No LPS,subregion timelapse_1,15:55:05,10,6,204,,MECAA647,GFP,cmTMR,VPD450,,VENUS,,
40,2018-6-4,Wave1 pilot,whole node inital timelapse_2,19:19:38,3,45,114,"wave stains separated with ';'  two simultaneous stains with ','",,GFP; ef670,cmTMR; VPD450,,,VENUS,,
41,2018-6-4,Wave1 pilot,XCR1 cluster small region timelapse and drift assessment_1,19:42:09,15,4,126,,,GFP; ef670,cmTMR; VPD450,,,VENUS,,
42,2018-6-4,Wave1 pilot,back to whole LN now that drift subsided_1,20:35:01,1,46,116,,,GFP; ef670,cmTMR; VPD450,,,VENUS,,
43,2018-6-4,Wave1 pilot,other side of LN subregion timelapse_1,20:45:12,22,9,185,,,GFP; ef670,cmTMR; VPD450,,,VENUS,,
44,2018-6-5,5 hours post LPS,inital whole LN timelapse_1,13:50:31,2,33,135,,,GFP,cmTMR,VPD450,,VENUS,,
45,2018-6-5,5 hours post LPS,subregion timelapse_2,14:06:29,20,6,159,,,GFP,cmTMR,VPD450,,VENUS,,
46,2018-6-5,5 hours post LPS,back to whole LN timelapse_1,15:10:07,4,34,134,,,GFP,cmTMR,VPD450,,VENUS,,
47,2018-6-5,5 hours post LPS,back to whole LN timelapse continued_4,15:47:28,11,38,123,,,GFP,cmTMR,VPD450,,VENUS,,
48,2018-6-6,50k cells 24 hrs pos LPS,inital whole LN_1,12:19:16,2,45,153,,MECAA647,RFP,VPD450,GFP,,VENUS,,
49,2018-6-6,50k cells 24 hrs pos LPS,LN1 XCR1 cluster timelapse,12:32:31,19,9,177,,MECAA647,RFP,VPD450,GFP,,VENUS,,
50,2018-6-6,50k cells 24 hrs pos LPS,back to whole LN_2,13:46:10,1,36,154,,MECAA647,RFP,VPD450,GFP,,VENUS,,
51,2018-6-6,50k cells 24 hrs pos LPS,LN2 inital whole LN_1,17:48:35,2,47,158,,MECAA647,RFP,VPD450,GFP,,VENUS,,
52,2018-6-6,50k cells 24 hrs pos LPS,LN2 inital whole LN XCR1 cluster timelapse_1,18:03:29,19,9,185,,MECAA647,RFP,VPD450,GFP,,VENUS,,
53,2018-6-6,50k cells 24 hrs pos LPS,LN2 back to whole LN_1,19:07:20,2,49,153,,MECAA647,RFP,VPD450,GFP,,VENUS,,
54,2018-6-6,50k cells 24 hrs pos LPS,LN2 other smaller XCR1 cluster timelapse_1,19:19:27,20,6,139,,MECAA647,RFP,VPD450,GFP,,VENUS,,
55,2018-6-6,50k cells 24 hrs pos LPS,LN2 back to whole LN yet again_1,20:23:18,1,50,153,,MECAA647,RFP,VPD450,GFP,,VENUS,,
56,2018-6-7,50k Wave1,initial whole LN_1,14:50:19,2,52,165,,,RFP; e670,VPD450; CFSE,,,VENUS,,
57,2018-6-7,50k Wave1,whole T cell zone timelapse_1,15:06:21,26,9,113,,,RFP; e670,VPD450; CFSE,,,VENUS,,
58,2018-6-8,50k late arriver CD11c XCR1,inital whole LN_1,13:40:20,2,48,152,"not totally clear from notes, but I believe the mCherry only received e670 and VPD450 as listed",MECAA488,e670,VPD450,,,VENUS,Y,
59,2018-6-8,50k late arriver CD11c XCR1,subregion 1 parallel timelapse_1,13:57:22,19,6,156,,MECAA488,e670,VPD450,,,VENUS,Y,
60,2018-6-8,50k late arriver CD11c XCR1,subregion 2 parallel timelapse_1,13:58:57,18,6,135,,MECAA488,e670,VPD450,,,VENUS,Y,
61,2018-6-8,50k late arriver CD11c XCR1,non LPS LN explant_1,15:42:33,1,39,146,,MECAA488,e670,VPD450,,,VENUS,Y,
